customer_id,organization_name,organization_type,organization_subtype,size_category,employee_count,subscription_tier,monthly_revenue,setup_date,primary_contact_name,primary_contact_email,primary_contact_phone,street_address,city,state,zip_code,time_zone,payment_methods,integration_count,last_login_date,support_tier,created_at,updated_at
VANCO0001,St. Mary's Catholic Church,faith,church,medium,45,standard,2500.00,2019-03-15,Rev. Michael O'Connor,moconnor@stmarys.org,555-123-4567,123 Church Street,Minneapolis,MN,55401,America/Chicago,"[""online"", ""mobile""]",5,2024-11-15,basic,2019-03-15 08:30:00,2024-11-20 14:22:00
VANCO0002,Lincoln Elementary School,school,elementary,large,125,premium,8500.00,2020-08-20,Principal Sarah Johnson,sjohnson@lincoln.edu,555-234-5678,456 School Avenue,Atlanta,GA,30309,America/New_York,"[""online"", ""text""]",8,2024-11-10,premium,2020-08-20 09:15:00,2024-11-18 16:45:00
VANCO0003,Grace Community Church,faith,church,small,25,basic,1200.00,2021-01-10,Pastor David Kim,dkim@gracecommunity.org,555-345-6789,789 Faith Lane,Denver,CO,80202,America/Denver,"[""online""]",3,2024-11-12,basic,2021-01-10 10:00:00,2024-11-19 11:30:00
VANCO0004,Sunshine Daycare Center,childcare,daycare,small,15,standard,850.00,2022-05-15,Director Maria Rodriguez,mrodriguez@sunshine.com,555-456-7890,321 Sunshine Blvd,Phoenix,AZ,85001,America/Phoenix,"[""online"", ""mobile""]",2,2024-11-08,basic,2022-05-15 14:20:00,2024-11-17 09:12:00
VANCO0005,Temple Beth Shalom,faith,synagogue,medium,60,premium,3200.00,2018-09-12,Rabbi Jonathan Goldstein,jgoldstein@bethshalom.org,555-567-8901,567 Temple Drive,Chicago,IL,60601,America/Chicago,"[""online"", ""text"", ""mobile""]",7,2024-11-14,premium,2018-09-12 11:45:00,2024-11-20 13:55:00
VANCO0006,Roosevelt High School,school,high,large,250,premium,15000.00,2017-01-25,Principal Robert Chen,rchen@roosevelt.edu,555-678-9012,890 Education Way,Los Angeles,CA,90001,America/Los_Angeles,"[""online"", ""mobile"", ""pos""]",12,2024-11-16,premium,2017-01-25 07:30:00,2024-11-20 15:20:00
VANCO0007,Hope Baptist Church,faith,church,medium,80,standard,4500.00,2019-11-08,Rev. Patricia Williams,pwilliams@hopebaptist.org,555-789-0123,234 Hope Street,Houston,TX,77001,America/Chicago,"[""online"", ""text""]",6,2024-11-13,basic,2019-11-08 12:15:00,2024-11-19 10:45:00
VANCO0008,Little Learners Preschool,childcare,preschool,small,12,basic,600.00,2023-02-28,Owner Lisa Thompson,lthompson@littlelearners.com,555-890-1234,456 Learning Lane,Seattle,WA,98101,America/Los_Angeles,"[""online""]",1,2024-11-05,basic,2023-02-28 16:00:00,2024-11-15 08:30:00
VANCO0009,Madison Middle School,school,middle,medium,85,standard,6200.00,2020-06-10,Principal Kevin Brown,kbrown@madison.edu,555-901-2345,678 Middle School Road,Miami,FL,33101,America/New_York,"[""online"", ""mobile""]",4,2024-11-11,basic,2020-06-10 13:45:00,2024-11-18 14:10:00
VANCO0010,Islamic Center of Peace,faith,mosque,medium,35,standard,1800.00,2021-03-20,Imam Abdullah Hassan,ahassan@islamicpeace.org,555-012-3456,901 Peace Boulevard,Detroit,MI,48201,America/New_York,"[""online""]",3,2024-11-09,basic,2021-03-20 09:20:00,2024-11-17 11:15:00
VANCO0011,Helping Hands Nonprofit,nonprofit,charity,small,18,basic,750.00,2022-08-05,Executive Director Nancy Garcia,ngarcia@helpinghands.org,555-123-5678,123 Charity Circle,Portland,OR,97201,America/Los_Angeles,"[""online"", ""mobile""]",2,2024-11-07,basic,2022-08-05 10:30:00,2024-11-16 12:40:00
