employee_id,customer_id,first_name,last_name,email,phone,title,role,department,hire_date,is_primary_contact,is_active,last_login_date,training_completed,permissions,created_at,updated_at
EMP0001,VANCO0001,Ronald,Lewis,ronald.lewis@stmaryscatholicchurch.org,555-536-2993,Finance Director,admin,Finance,2021-09-26,True,True,2024-10-26,True,"[""billing"", ""reports"", ""settings"", ""users""]",2021-09-26 00:00:00,2024-11-20 14:30:00
EMP0002,VANCO0001,Kevin,Scott,kevin.scott@stmaryscatholicchurch.org,555-192-3274,Administrative Assistant,volunteer,Administration,2020-05-22,False,True,2024-11-13,True,"[""basic_access""]",2020-05-22 00:00:00,2024-11-20 14:30:00
EMP0003,VANCO0001,Thomas,Rivera,thomas.rivera@stmaryscatholicchurch.org,555-614-5487,Office Manager,director,Administration,2020-05-31,False,True,2024-10-21,True,"[""basic_access""]",2020-05-31 00:00:00,2024-11-20 14:30:00
EMP0004,VANCO0001,Karen,Allen,karen.allen@stmaryscatholicchurch.org,555-335-6401,Pastor,admin,Leadership,2023-05-03,False,True,2024-11-08,True,"[""billing"", ""reports"", ""settings"", ""users""]",2023-05-03 00:00:00,2024-11-20 14:30:00
EMP0005,VANCO0001,Donna,Young,donna.young@stmaryscatholicchurch.org,555-365-6920,Youth Pastor,admin,Leadership,2024-02-26,False,True,2024-11-14,False,"[""billing"", ""reports"", ""settings"", ""users""]",2024-02-26 00:00:00,2024-11-20 14:30:00
EMP0006,VANCO0002,Thomas,White,thomas.white@lincolnelementaryschool.org,555-446-5665,Registrar,director,Operations,2021-08-04,True,False,2024-11-12,True,"[""billing"", ""reports"", ""settings"", ""users""]",2021-08-04 00:00:00,2024-11-20 14:30:00
EMP0007,VANCO0002,Jeffrey,Rivera,jeffrey.rivera@lincolnelementaryschool.org,555-741-1858,Principal,admin,Leadership,2023-08-01,False,True,2024-11-11,True,"[""billing"", ""reports"", ""settings"", ""users""]",2023-08-01 00:00:00,2024-11-20 14:30:00
EMP0008,VANCO0002,Kimberly,Lopez,kimberly.lopez@lincolnelementaryschool.org,555-242-4352,Finance Manager,finance,Finance,2024-05-16,False,True,2024-11-08,False,"[""billing"", ""reports""]",2024-05-16 00:00:00,2024-11-20 14:30:00
EMP0009,VANCO0002,Nancy,Lee,nancy.lee@lincolnelementaryschool.org,555-350-8906,Assistant Principal,admin,Leadership,2024-01-11,False,True,2024-10-26,True,"[""billing"", ""reports"", ""settings"", ""users""]",2024-01-11 00:00:00,2024-11-20 14:30:00
EMP0010,VANCO0002,Jason,Nguyen,jason.nguyen@lincolnelementaryschool.org,555-374-9096,Secretary,volunteer,Administration,2023-11-14,False,True,2024-10-28,True,"[""basic_access""]",2023-11-14 00:00:00,2024-11-20 14:30:00
